temperature,method,iteration,violations_per_round_mean,violations_per_round_std,violations_per_round_se
1.0,Uniform Random,0,0.6275,0.25370997221236685,0.025370997221236685
1.0,Uniform Random,1,0.66,0.24627220712049483,0.024627220712049484
1.0,Uniform Random,2,0.64,0.22726636354727012,0.022726636354727013
1.0,Uniform Random,3,0.5825,0.27625848403261755,0.027625848403261755
1.0,Uniform Random,4,0.6225,0.2277471185328147,0.02277471185328147
1.0,Uniform Random,5,0.6475,0.21533404282648863,0.02153340428264886
1.0,Uniform Random,6,0.62,0.2536730178793164,0.02536730178793164
1.0,Uniform Random,7,0.6225,0.2727063438939402,0.027270634389394022
1.0,Uniform Random,8,0.665,0.2351063589101749,0.02351063589101749
1.0,Uniform Random,9,0.6325,0.2220782519743886,0.02220782519743886
1.0,Gaussian Random,0,0.185,0.17542804792848832,0.01754280479284883
1.0,Gaussian Random,1,0.15,0.16201851746019644,0.016201851746019645
1.0,Gaussian Random,2,0.1875,0.21901769334919038,0.02190176933491904
1.0,Gaussian Random,3,0.1725,0.17921704718022785,0.017921704718022784
1.0,Gaussian Random,4,0.1675,0.1769710428290459,0.01769710428290459
1.0,Gaussian Random,5,0.1575,0.18253424336271812,0.018253424336271813
1.0,Gaussian Random,6,0.1775,0.18806581294855265,0.018806581294855265
1.0,Gaussian Random,7,0.1925,0.165283846760656,0.0165283846760656
1.0,Gaussian Random,8,0.1875,0.21323402636539976,0.021323402636539975
1.0,Gaussian Random,9,0.1825,0.18659782956937085,0.018659782956937085
1.0,CBO (no CPC),0,0.4175,0.2785116694144071,0.027851166941440707
1.0,CBO (no CPC),1,0.4075,0.2842863872928143,0.02842863872928143
1.0,CBO (no CPC),2,0.415,0.2855258307053847,0.028552583070538467
1.0,CBO (no CPC),3,0.47,0.29849623113198603,0.029849623113198602
1.0,CBO (no CPC),4,0.4675,0.29294837429144416,0.029294837429144415
1.0,CBO (no CPC),5,0.5,0.31024184114977144,0.031024184114977142
1.0,CBO (no CPC),6,0.5075,0.30094642380330766,0.030094642380330765
1.0,CBO (no CPC),7,0.555,0.2729010809799039,0.02729010809799039
1.0,CBO (no CPC),8,0.53,0.3226453160980335,0.032264531609803346
1.0,CBO (no CPC),9,0.58,0.3370459909270543,0.03370459909270543
1.0,"CPC+CBO,alpha=0.4",0,0.2775,0.25713566458194803,0.025713566458194802
1.0,"CPC+CBO,alpha=0.4",1,0.3025,0.27224758952100936,0.027224758952100934
1.0,"CPC+CBO,alpha=0.4",2,0.2425,0.23036655573238063,0.023036655573238064
1.0,"CPC+CBO,alpha=0.4",3,0.2875,0.2132340263653997,0.021323402636539972
1.0,"CPC+CBO,alpha=0.4",4,0.27,0.244131112314674,0.0244131112314674
1.0,"CPC+CBO,alpha=0.4",5,0.2675,0.21288200957337844,0.021288200957337845
1.0,"CPC+CBO,alpha=0.4",6,0.2975,0.21706853756359998,0.021706853756359997
1.0,"CPC+CBO,alpha=0.4",7,0.3175,0.23941334549268545,0.023941334549268545
1.0,"CPC+CBO,alpha=0.4",8,0.3075,0.26892145693492003,0.026892145693492003
1.0,"CPC+CBO,alpha=0.4",9,0.3225,0.2556731311655568,0.02556731311655568
